ID	Sex	Mother
AG15	F	R046
AG16	F	R046
AG17	M	R046
AG18	M	R046
AG19	M	R046
AG20	M	R046
AG21	M	R046
AG22	M	R046
AG23	M	R046
AG24	M	R046
B15	F	C424
B16	F	C424
B17	F	C424
I07	F	C284
I08	F	C284
I09	F	C284
I10	M	C284
I11	M	C284
I12	M	C284
I13	M	C284
I14	M	C284
I15	M	C284
I16	M	C284
AH01	F	C401
AH02	F	C401
AH03	F	C401
AH04	F	C401
AH05	M	C401
AH06	M	C401
AH07	M	C401
AH08	M	C401
AH09	M	C401
AI01	F	C439
AI02	F	C439
AI03	F	C439
AI04	F	C439
AI05	F	C439
AI06	M	C439
AI07	M	C439
AI08	M	C439
AI09	M	C439
AI10	M	C439
AI11	M	C439
AJ01	F	R002
AJ02	F	R002
AJ03	F	R002
AJ04	F	R002
AJ05	M	R002
AJ06	M	R002
AJ07	M	R002
AJ08	M	R002
AJ09	M	R002
AJ10	M	R002
AJ11	M	R002
AK01	F	R045
AK02	M	R045
AK03	M	R045
AK04	M	R045
AK05	M	R045
AK06	M	R045
AK07	M	R045
AK08	M	R045
AK09	M	R045
AL01	F	R044
AL02	F	R044
AL03	F	R044
AL04	F	R044
AL05	M	R044
AL06	M	R044
AL07	M	R044
AL08	M	R044
AL09	M	R044
AL10	M	R044
AL11	M	R044
AL12	M	R044
AL13	M	R044
AM01	F	R051
AM02	F	R051
AM03	M	R051
AM04	M	R051
AM05	M	R051
AM06	M	R051
AM07	M	R051
AM08	M	R051
AM09	M	R051
AM10	M	R051
AM11	M	R051
AM12	M	R051
AM13	M	R051
AE14	F	R001
AE15	F	R001
AE16	F	R001
AE17	F	R001
AE18	M	R001
AE19	M	R001
AE20	M	R001
AE21	M	R001
AE22	M	R001
AE23	M	R001
AN01	M	R019
AN02	M	R019
AN03	M	R019
AN04	M	R019
AN05	M	R019
AN06	M	R019
AO01	F	D213
AO02	F	D213
AO03	F	D213
AO04	F	D213
AO05	F	D213
AO06	M	D213
AO07	M	D213
AO08	M	D213
AO09	M	D213
AO10	M	D213
AO11	M	D213
AO12	M	D213
AO13	M	D213
AO14	M	D213
AO15	M	D213
AO16	M	D213
AO17	M	D213
AO18	M	D213
AO19	M	D213
AP01	F	D214
AP02	F	D214
AP03	F	D214
AP04	F	D214
AP05	F	D214
AP06	M	D214
AP07	M	D214
AP08	M	D214
AP09	M	D214
AP10	M	D214
AP11	M	D214
AP12	M	D214
AP13	M	D214
AP14	M	D214
AP15	M	D214
AP16	M	D214
AP17	M	D214
AP18	M	D214
AP19	M	D214
AP20	M	D214
AP21	M	D214
AP22	M	D214
AP23	M	D214
AP24	M	D214
AP25	M	D214
AP26	M	D214
AP27	M	D214
AP28	M	D214
AP29	M	D214
AP30	M	D214
AP31	M	D214
AR01	F	D221
AR02	F	D221
AR03	F	D221
AR04	F	D221
AR05	M	D221
AR06	M	D221
AR07	M	D221
AR08	M	D221
AR09	M	D221
AR10	M	D221
AR11	M	D221
AR12	M	D221
AR13	M	D221
AR14	M	D221
AR15	M	D221
AR16	M	D221
AR17	M	D221
AR18	M	D221
AR19	M	D221
AR20	M	D221
AR21	M	D221
AR22	M	D221
AR23	M	D221
W10	M	C428
W11	M	C428
W12	M	C428
W13	M	C428
W14	M	C428
W15	M	C428
W16	M	C428
W17	M	C428
AS01	F	D235
AS02	M	D235
AS03	M	D235
AS04	M	D235
V11	M	C299
V12	M	C299
V13	M	C299
V14	M	C299
V15	M	C299
V16	M	C299
V17	M	C299
V18	M	C299
AT01	M	D200
AT02	M	D200
AT03	M	D200
AT04	M	D200
AT05	M	D200
AT06	M	D200
AT07	M	D200
AT08	M	D200
AT09	M	D200
AT10	M	D200
AU01	M	D203
AU02	M	D203
AU03	M	D203
AU04	M	D203
AU05	M	D203
AU06	M	D203
AU07	M	D203
AU08	M	D203
AV01	M	D204
AV02	M	D204
AV03	M	D204
AV04	M	D204
AV05	M	D204
AV06	M	D204
AV07	M	D204
AV08	M	D204
AV09	M	D204
AV10	M	D204
