Number	Sex	parent-id	dissection_date	rad_libary	vial body parts	Remark
CF4A01	F	src266		RAD_wasp6	102	
CF4A02	M	src266		RAD_wasp6	103	"for males, abdomen was not removed"
CF4A03	M	src266		RAD_wasp6	104	"for males, abdomen was not removed"
CF4A04	M	src266		RAD_wasp6	105	"for males, abdomen was not removed"
CF4A05	M	src266		RAD_wasp6	106	"for males, abdomen was not removed"
CF4A06	M	src266		RAD_wasp6	107	"for males, abdomen was not removed"
CF4A07	F	src266		RAD_wasp6	108	
CF4A08	M	src266		RAD_wasp6	109	"for males, abdomen was not removed"
CF4A09	M	src266		RAD_wasp6	110	"for males, abdomen was not removed"
CF4A10	M	src266		RAD_wasp6	111	"for males, abdomen was not removed"
CF4A11	M	src266		RAD_wasp6	112	"for males, abdomen was not removed"
CF4A12	M	src266		RAD_wasp6	113	"for males, abdomen was not removed"
CF4A13	F	src266		RAD_wasp6	114	
CF4A14	F	src266		RAD_wasp6	115	
CF4A15	M	src266	01.02.17	RAD_wasp7	207	
CF4A16	M	src266	01.02.17	RAD_wasp7	208	
CF4A17	M	src266	01.02.17	RAD_wasp7	209	
CF4A18	M	src266	01.02.17	RAD_wasp7	210	
CF4A19	M	src266	01.02.17	RAD_wasp7	211	
CF4A20	M	src266	01.02.17	RAD_wasp7	212	
CF4A21	M	src266	01.02.17	RAD_wasp7	213	
CF4A22	M	src266	01.02.17	RAD_wasp7	214	
CF4A23	M	src266	01.02.17	RAD_wasp7	215	
CF4A24	M	src266	01.02.17	RAD_wasp7	216	
CF4A25	M	src266	01.02.17	RAD_wasp7	217	
CF4A26	M	src266	01.02.17	RAD_wasp7	218	
CF4A27	M	src266	02.02.17	RAD_wasp7	219	
CF4A28	M	src266	02.02.17	RAD_wasp7	220	
CF4A29	M	src266	02.02.17	RAD_wasp7	221	
CF4A30	M	src266	02.02.17	RAD_wasp7	222	
CF4AA01	F	SRC491				
CF4AA02	F	SRC491				
CF4AA03	M	SRC491				
CF4AA04	M	SRC491				
CF4AA05	M	SRC491				
CF4AA06	M	SRC491				
CF4AB01	F	SRC495				
CF4AB02	F	SRC495				
CF4AB03	F	SRC495				
CF4AB04	M	SRC495				
CF4AB05	M	SRC495				
CF4AB06	M	SRC495				
CF4AB07	M	SRC495				
CF4AC01	F	SRC517				
CF4AC02	F	SRC517				
CF4AC03	F	SRC517				
CF4AC04	F	SRC517				
CF4AC05	M	SRC517				
CF4AC06	M	SRC517				
CF4AC07	M	SRC517				
CF4AC08	M	SRC517				
CF4AC09	M	SRC517				
CF4AC10	M	SRC517				
CF4AC11	M	SRC517				
CF4AC12	M	SRC517				
CF4AC13	M	SRC517				
CF4AC14	M	SRC517				
CF4AC15	M	SRC517				
CF4AC16	M	SRC517				
CF4AC17	M	SRC517				
CF4AD01	F	SRC518				
CF4AD02	F	SRC518				
CF4AD03	F	SRC518				
CF4AD04	F	SRC518				
CF4AD05	M	SRC518				
CF4AD06	M	SRC518				
CF4AD07	M	SRC518				
CF4AD08	M	SRC518				
CF4AD09	M	SRC518				
CF4AD10	M	SRC518				
CF4AD11	M	SRC518				
CF4AD12	M	SRC518				
CF4AD13	M	SRC518				
CF4AD14	M	SRC518				
CF4AD15	M	SRC518				
CF4AE01	F	SRR001				
CF4AE02	F	SRR001				
CF4AE03	F	SRR001				
CF4AE04	M	SRR001				
CF4AE05	M	SRR001				
CF4AE06	M	SRR001				
CF4AE07	M	SRR001				
CF4AE08	M	SRR001				
CF4AE09	M	SRR001				
CF4AE10	M	SRR001				
CF4AE11	M	SRR001				
CF4AE12	M	SRR001				
CF4AE13	M	SRR001				
CF4AE14	F	R001	02.08.17			
CF4AE15	F	R001	02.08.17			
CF4AE16	F	R001	02.08.17			
CF4AE17	F	R001	02.08.17			
CF4AE18	M	R001	02.08.17			
CF4AE19	M	R001	02.08.17			
CF4AE20	M	R001	02.08.17			
CF4AE21	M	R001	02.08.17			
CF4AE22	M	R001	02.08.17			
CF4AE23	M	R001	02.08.17			
CF4AF01	M	SRR008				
CF4AF02	M	SRR008				
CF4AF03	M	SRR008				
CF4AF04	M	SRR008				
CF4AF05	M	SRR008				
CF4AF06	M	SRR008				
CF4AF07	M	SRR008				
CF4AG01	F	SRR046				
CF4AG02	F	SRR046				
CF4AG03	F	SRR046				
CF4AG04	M	SRR046				
CF4AG05	M	SRR046				
CF4AG06	M	SRR046				
CF4AG07	M	SRR046				
CF4AG08	M	SRR046				
CF4AG09	M	SRR046				
CF4AG10	M	SRR046				
CF4AG11	M	SRR046				
CF4AG12	M	SRR046				
CF4AG13	M	SRR046				
CF4AG14	M	SRR046				
CF4AG15	F	R046	31.07.17			
CF4AG16	F	R046	31.07.17			
CF4AG17	M	R046	31.07.17			
CF4AG18	M	R046	31.07.17			
CF4AG19	M	R046	31.07.17			
CF4AG20	M	R046	31.07.17			
CF4AG21	M	R046	31.07.17			
CF4AG22	M	R046	31.07.17			
CF4AG23	M	R046	31.07.17			
CF4AG24	M	R046	31.07.17			
CF4AH01	F	C401	31.07.17			
CF4AH02	F	C401	31.07.17			
CF4AH03	F	C401	31.07.17			
CF4AH04	F	C401	31.07.17			
