sample	reads	lib
Blank.fq.gz	884537	csd
C209.fq.gz	796995	csd
C232.fq.gz	640900	csd
C235.fq.gz	1650067	csd
C262.fq.gz	2265515	csd
C266.fq.gz	1847021	csd
C279.fq.gz	2071753	csd
C281.fq.gz	1633940	csd
C284.fq.gz	490429	csd
C293.fq.gz	414001	csd
C424.fq.gz	786775	csd
C429.fq.gz	616105	csd
CF421210.fq.gz	984290	csd
CF421211.fq.gz	500070	csd
CF421212.fq.gz	758283	csd
CF42129.fq.gz	834380	csd
CF421310.fq.gz	827164	csd
CF421311.fq.gz	862853	csd
CF421312.fq.gz	970351	csd
CF42139.fq.gz	683955	csd
CF422510.fq.gz	583267	csd
CF422511.fq.gz	865925	csd
CF422512.fq.gz	833893	csd
CF422513.fq.gz	833917	csd
CF422514.fq.gz	1007026	csd
CF42259.fq.gz	892332	csd
CF4A01.fq.gz	1633758	csd
CF4A02.fq.gz	1229836	csd
CF4A03.fq.gz	1129253	csd
CF4A04.fq.gz	1185375	csd
CF4A05.fq.gz	1230397	csd
CF4A06.fq.gz	1288475	csd
CF4A07.fq.gz	12	csd
CF4A08.fq.gz	1067423	csd
CF4A09.fq.gz	1206678	csd
CF4A10.fq.gz	903165	csd
CF4A11.fq.gz	672	csd
CF4A12.fq.gz	971090	csd
CF4A13.fq.gz	47	csd
CF4A14.fq.gz	951890	csd
CF4A15.fq.gz	804306	csd
CF4A16.fq.gz	895303	csd
CF4A17.fq.gz	778414	csd
CF4A18.fq.gz	963750	csd
CF4A19.fq.gz	688058	csd
CF4A20.fq.gz	885735	csd
CF4A21.fq.gz	911958	csd
CF4A22.fq.gz	938841	csd
CF4A23.fq.gz	1006133	csd
CF4A24.fq.gz	772179	csd
CF4A25.fq.gz	836636	csd
CF4A26.fq.gz	1091097	csd
CF4A27.fq.gz	1089100	csd
CF4A28.fq.gz	734575	csd
CF4A29.fq.gz	1021294	csd
CF4A30.fq.gz	1216157	csd
CF4AA01.fq.gz	1060895	csd
CF4AA02.fq.gz	1082803	csd
CF4AA03.fq.gz	1064404	csd
CF4AA04.fq.gz	1108997	csd
CF4AA05.fq.gz	1011940	csd
CF4AA06.fq.gz	1072365	csd
CF4AB01.fq.gz	49821	csd
CF4AB02.fq.gz	661836	csd
CF4AB03.fq.gz	815423	csd
CF4AB04.fq.gz	943386	csd
CF4AB05.fq.gz	852120	csd
CF4AB06.fq.gz	6287	csd
CF4AB07.fq.gz	914137	csd
CF4AC01.fq.gz	304743	csd
CF4AC02.fq.gz	3833	csd
CF4AC03.fq.gz	1097647	csd
CF4AC04.fq.gz	865005	csd
CF4AC05.fq.gz	931099	csd
CF4AC06.fq.gz	999412	csd
CF4AC07.fq.gz	1469130	csd
CF4AC08.fq.gz	43711	csd
CF4AC09.fq.gz	985207	csd
CF4AC10.fq.gz	986115	csd
CF4AC11.fq.gz	1080277	csd
CF4AC12.fq.gz	957165	csd
CF4AC13.fq.gz	1018352	csd
CF4AC14.fq.gz	909823	csd
CF4AC15.fq.gz	25456	csd
CF4AC16.fq.gz	586831	csd
CF4AC17.fq.gz	788095	csd
CF4AD01.fq.gz	954067	csd
CF4AD02.fq.gz	909897	csd
CF4AD03.fq.gz	948299	csd
CF4AD04.fq.gz	965864	csd
CF4AD05.fq.gz	215925	csd
CF4AD06.fq.gz	40078	csd
CF4AD07.fq.gz	38527	csd
CF4AD08.fq.gz	844647	csd
CF4AD09.fq.gz	985680	csd
CF4AD10.fq.gz	1170920	csd
CF4AD11.fq.gz	1223273	csd
CF4AD12.fq.gz	927843	csd
CF4AD13.fq.gz	909516	csd
CF4AD14.fq.gz	840743	csd
CF4AD15.fq.gz	556119	csd
CF4AH01.fq.gz	967500	csd
CF4AH02.fq.gz	762542	csd
CF4AH03.fq.gz	824881	csd
CF4AH04.fq.gz	779273	csd
CF4AH05.fq.gz	740919	csd
CF4AH06.fq.gz	3933	csd
