sample	reads	lib
CF4AH07.fq.gz	796494	csd
CF4AH08.fq.gz	746906	csd
CF4AH09.fq.gz	4064	csd
CF4AI01.fq.gz	822449	csd
CF4AI02.fq.gz	843785	csd
CF4AI03.fq.gz	690527	csd
CF4AI04.fq.gz	773115	csd
CF4AI05.fq.gz	756635	csd
CF4AI06.fq.gz	816998	csd
CF4AI07.fq.gz	656856	csd
CF4AI08.fq.gz	819058	csd
CF4AI09.fq.gz	735502	csd
CF4AI10.fq.gz	642155	csd
CF4AI11.fq.gz	675784	csd
CF4B01.fq.gz	7	csd
CF4B02.fq.gz	916543	csd
CF4B03.fq.gz	1077874	csd
CF4B04.fq.gz	1077922	csd
CF4B05.fq.gz	805259	csd
CF4B06.fq.gz	1086253	csd
CF4B07.fq.gz	669769	csd
CF4B08.fq.gz	1172738	csd
CF4B09.fq.gz	967875	csd
CF4B10.fq.gz	1186760	csd
CF4B11.fq.gz	909160	csd
CF4B12.fq.gz	916417	csd
CF4B13.fq.gz	893545	csd
CF4B14.fq.gz	515414	csd
CF4B15.fq.gz	835653	csd
CF4B16.fq.gz	723897	csd
CF4B17.fq.gz	821357	csd
CF4BF01.fq.gz	878731	csd
CF4BF02.fq.gz	310308	csd
CF4BF03.fq.gz	898237	csd
CF4BF04.fq.gz	870048	csd
CF4BF05.fq.gz	1068481	csd
CF4BF06.fq.gz	28454	csd
CF4BF07.fq.gz	903652	csd
CF4BF08.fq.gz	825632	csd
CF4BG01.fq.gz	4981	csd
CF4BG02.fq.gz	828549	csd
CF4BG03.fq.gz	881744	csd
CF4BG04.fq.gz	4325	csd
CF4BG05.fq.gz	996086	csd
CF4BG06.fq.gz	996000	csd
CF4BG07.fq.gz	924659	csd
CF4BH01.fq.gz	1073513	csd
CF4BH02.fq.gz	1199997	csd
CF4BH03.fq.gz	1032974	csd
CF4BH04.fq.gz	861611	csd
CF4BH05.fq.gz	1088520	csd
CF4BH06.fq.gz	887883	csd
CF4BH07.fq.gz	663531	csd
CF4BH08.fq.gz	813610	csd
CF4BH09.fq.gz	869425	csd
CF4BH10.fq.gz	684732	csd
CF4BI01.fq.gz	615123	csd
CF4BI02.fq.gz	811319	csd
CF4BI03.fq.gz	920376	csd
CF4BI04.fq.gz	1047369	csd
CF4BI05.fq.gz	1161317	csd
CF4BI06.fq.gz	1026097	csd
CF4BI07.fq.gz	792105	csd
CF4BI08.fq.gz	969494	csd
CF4BI09.fq.gz	739807	csd
CF4BI10.fq.gz	658919	csd
CF4BJ01.fq.gz	1035098	csd
CF4BJ02.fq.gz	1087785	csd
CF4BJ03.fq.gz	1079051	csd
CF4BJ04.fq.gz	862059	csd
CF4BJ05.fq.gz	1021367	csd
CF4BJ06.fq.gz	950199	csd
CF4BJ07.fq.gz	840274	csd
CF4BJ08.fq.gz	888138	csd
CF4BJ09.fq.gz	641682	csd
CF4BJ10.fq.gz	22992	csd
CF4BJ11.fq.gz	987964	csd
CF4C01.fq.gz	887666	csd
CF4C02.fq.gz	1128788	csd
CF4C03.fq.gz	5329	csd
CF4C04.fq.gz	1200116	csd
CF4C05.fq.gz	948103	csd
CF4C06.fq.gz	914964	csd
CF4C07.fq.gz	1275336	csd
CF4D01.fq.gz	1122921	csd
CF4D02.fq.gz	867339	csd
CF4D03.fq.gz	1162280	csd
CF4D04.fq.gz	1066419	csd
CF4D05.fq.gz	793399	csd
CF4D06.fq.gz	1094754	csd
CF4D07.fq.gz	1231673	csd
CF4D08.fq.gz	789131	csd
CF4D09.fq.gz	1359846	csd
CF4D10.fq.gz	1211301	csd
CF4E01.fq.gz	1153859	csd
CF4E02.fq.gz	726412	csd
CF4E03.fq.gz	1066001	csd
CF4E04.fq.gz	1102633	csd
CF4E05.fq.gz	1055984	csd
CF4E06.fq.gz	1231134	csd
CF4E07.fq.gz	648783	csd
CF4E08.fq.gz	1023360	csd
CF4E09.fq.gz	854910	csd
CF4E10.fq.gz	937475	csd
CF4E11.fq.gz	818346	csd
CF4E12.fq.gz	11115	csd
CF4E13.fq.gz	976217	csd
CF4E14.fq.gz	1121888	csd
CF4E15.fq.gz	7435	csd
CF4E16.fq.gz	1119559	csd
CF4E17.fq.gz	1301558	csd
CF4E18.fq.gz	1668783	csd
CF4F01.fq.gz	1402646	csd
CF4F02.fq.gz	798137	csd
CF4F03.fq.gz	1117047	csd
CF4F04.fq.gz	1016940	csd
CF4F05.fq.gz	1245574	csd
CF4F06.fq.gz	1055112	csd
CF4F07.fq.gz	802575	csd
CF4F08.fq.gz	1746038	csd
CF4F09.fq.gz	1819	csd
CF4F11.fq.gz	1810	csd
CF4F12.fq.gz	873172	csd
CF4F13.fq.gz	939934	csd
CF4F14.fq.gz	762113	csd
CF4F15.fq.gz	728207	csd
CF4F16.fq.gz	1043700	csd
CF4F17.fq.gz	723755	csd
CF4G01.fq.gz	1126888	csd
CF4G02.fq.gz	663001	csd
CF4G03.fq.gz	829600	csd
CF4G04.fq.gz	766871	csd
CF4G05.fq.gz	1155062	csd
CF4G06.fq.gz	1119890	csd
CF4G07.fq.gz	1003612	csd
CF4G08.fq.gz	1022647	csd
CF4G09.fq.gz	1080064	csd
CF4G10.fq.gz	801071	csd
CF4G11.fq.gz	911917	csd
CF4G12.fq.gz	500682	csd
CF4G13.fq.gz	943140	csd
CF4G14.fq.gz	965909	csd
CF4G15.fq.gz	850167	csd
CF4H01.fq.gz	831694	csd
CF4H02.fq.gz	928079	csd
CF4H03.fq.gz	576879	csd
CF4H04.fq.gz	936207	csd
CF4H05.fq.gz	905582	csd
CF4H06.fq.gz	1056350	csd
CF4H07.fq.gz	991605	csd
CF4H08.fq.gz	964029	csd
CF4H09.fq.gz	949622	csd
CF4H10.fq.gz	938725	csd
CF4H11.fq.gz	905417	csd
CF4H12.fq.gz	633123	csd
CF4H13.fq.gz	873426	csd
CF4H14.fq.gz	723092	csd
CF4H15.fq.gz	827608	csd
CF4H16.fq.gz	594257	csd
CF4H17.fq.gz	693512	csd
CF4H18.fq.gz	490095	csd
CF4H19.fq.gz	644761	csd
CF4H20.fq.gz	420861	csd
CF4H21.fq.gz	650497	csd
CF4I01.fq.gz	678808	csd
CF4I02.fq.gz	490353	csd
CF4I03.fq.gz	684904	csd
CF4I04.fq.gz	484340	csd
CF4I05.fq.gz	2710	csd
CF4I06.fq.gz	430992	csd
CF4I07.fq.gz	697080	csd
CF4I08.fq.gz	673064	csd
CF4I09.fq.gz	824461	csd
CF4I10.fq.gz	875972	csd
CF4I11.fq.gz	920651	csd
CF4I12.fq.gz	706902	csd
CF4I13.fq.gz	829296	csd
CF4I14.fq.gz	843747	csd
CF4I15.fq.gz	831607	csd
CF4I16.fq.gz	828697	csd
CF4J01.fq.gz	542793	csd
CF4J02.fq.gz	965826	csd
CF4J03.fq.gz	813366	csd
CF4J04.fq.gz	539058	csd
CF4J05.fq.gz	562537	csd
CF4J06.fq.gz	761260	csd
CF4J07.fq.gz	870574	csd
CF4J08.fq.gz	615547	csd
CF4J09.fq.gz	332017	csd
CF4J10.fq.gz	431465	csd
CF4J11.fq.gz	3032	csd
CF4J12.fq.gz	599677	csd
CF4J13.fq.gz	614833	csd
CF4J14.fq.gz	516658	csd
CF4J15.fq.gz	5359	csd
CF4J16.fq.gz	506846	csd
CF4J17.fq.gz	522580	csd
CF4J18.fq.gz	4605	csd
CF4J19.fq.gz	794778	csd
CF4J20.fq.gz	440762	csd
CF4J21.fq.gz	682545	csd
CF4J22.fq.gz	608792	csd
CF4J23.fq.gz	484400	csd
CF4J24.fq.gz	640294	csd
CF4J25.fq.gz	683799	csd
CF4J26.fq.gz	671004	csd
CF4J27.fq.gz	784260	csd
CF4K01.fq.gz	493742	csd
CF4K02.fq.gz	851501	csd
CF4K03.fq.gz	798471	csd
CF4K04.fq.gz	628698	csd
CF4K05.fq.gz	892105	csd
CF4K06.fq.gz	646724	csd
CF4K07.fq.gz	696291	csd
CF4K08.fq.gz	1011859	csd
CF4K09.fq.gz	2046	csd
CF4K10.fq.gz	599509	csd
CF4K11.fq.gz	477720	csd
CF4K12.fq.gz	514996	csd
CF4K13.fq.gz	554311	csd
CF4K14.fq.gz	438887	csd
CF4K15.fq.gz	786709	csd
CF4K16.fq.gz	292764	csd
CF4K17.fq.gz	638715	csd
CF4K18.fq.gz	749002	csd
CF4L01.fq.gz	827524	csd
CF4L02.fq.gz	401602	csd
CF4L03.fq.gz	380909	csd
CF4L04.fq.gz	624533	csd
CF4L05.fq.gz	532989	csd
CF4L06.fq.gz	637066	csd
CF4L07.fq.gz	706906	csd
CF4L08.fq.gz	554186	csd
CF4L09.fq.gz	692596	csd
CF4L10.fq.gz	628380	csd
CF4L11.fq.gz	767406	csd
CF4L12.fq.gz	511093	csd
CF4L13.fq.gz	640464	csd
CF4L14.fq.gz	508087	csd
CF4L15.fq.gz	636844	csd
CF4L16.fq.gz	668398	csd
CF4L17.fq.gz	2326	csd
CF4L18.fq.gz	609343	csd
CF4M01.fq.gz	786291	csd
CF4M02.fq.gz	723727	csd
CF4M03.fq.gz	842255	csd
CF4M04.fq.gz	785737	csd
CF4N01.fq.gz	718302	csd
CF4N02.fq.gz	774976	csd
CF4N03.fq.gz	916313	csd
CF4N04.fq.gz	909064	csd
CF4N05.fq.gz	843775	csd
CF4N06.fq.gz	501322	csd
CF4N07.fq.gz	883385	csd
CF4N08.fq.gz	731861	csd
CF4N09.fq.gz	803572	csd
CF4N10.fq.gz	756335	csd
CF4N11.fq.gz	919976	csd
CF4O01.fq.gz	999573	csd
CF4O02.fq.gz	896732	csd
CF4O03.fq.gz	743277	csd
CF4O04.fq.gz	35790	csd
CF4O05.fq.gz	905391	csd
CF4O06.fq.gz	563145	csd
CF4O07.fq.gz	910551	csd
CF4O08.fq.gz	856104	csd
CF4O09.fq.gz	895564	csd
CF4P01.fq.gz	831826	csd
CF4P02.fq.gz	269485	csd
CF4P03.fq.gz	914363	csd
CF4Q01.fq.gz	842315	csd
CF4Q02.fq.gz	3849	csd
CF4Q03.fq.gz	809253	csd
CF4Q04.fq.gz	916486	csd
CF4R01.fq.gz	4741	csd
CF4R03.fq.gz	994873	csd
CF4R04.fq.gz	930581	csd
CF4R05.fq.gz	655329	csd
CF4S01.fq.gz	894692	csd
CF4S02.fq.gz	1161791	csd
CF4S03.fq.gz	890867	csd
CF4S04.fq.gz	695777	csd
CF4S05.fq.gz	693433	csd
CF4S06.fq.gz	871789	csd
CF4S07.fq.gz	130794	csd
CF4S08.fq.gz	933448	csd
CF4S09.fq.gz	896063	csd
CF4T01.fq.gz	833946	csd
CF4T02.fq.gz	609019	csd
CF4T03.fq.gz	833069	csd
CF4T04.fq.gz	945808	csd
CF4T05.fq.gz	928398	csd
CF4T06.fq.gz	737669	csd
CF4T07.fq.gz	943270	csd
CF4T08.fq.gz	760406	csd
CF4T09.fq.gz	958442	csd
CF4T10.fq.gz	874208	csd
CF4T11.fq.gz	812196	csd
CF4T12.fq.gz	950395	csd
CF4T13.fq.gz	1031199	csd
CF4U01.fq.gz	1157210	csd
CF4U02.fq.gz	983333	csd
CF4U03.fq.gz	931254	csd
CF4U04.fq.gz	925844	csd
CF4U05.fq.gz	981360	csd
CF4U06.fq.gz	694053	csd
CF4U07.fq.gz	873014	csd
CF4U08.fq.gz	852248	csd
CF4U09.fq.gz	937641	csd
CF4U10.fq.gz	992808	csd
CF4V01.fq.gz	916888	csd
CF4V02.fq.gz	774875	csd
CF4V03.fq.gz	949769	csd
CF4V04.fq.gz	136029	csd
CF4V05.fq.gz	92432	csd
CF4V06.fq.gz	948522	csd
CF4V07.fq.gz	125786	csd
CF4V08.fq.gz	801507	csd
CF4V09.fq.gz	929422	csd
CF4V10.fq.gz	931218	csd
CF4V11.fq.gz	618634	csd
CF4V12.fq.gz	906517	csd
CF4V13.fq.gz	698935	csd
CF4V14.fq.gz	745216	csd
CF4V15.fq.gz	705373	csd
CF4V16.fq.gz	878224	csd
CF4V17.fq.gz	775895	csd
CF4V18.fq.gz	803006	csd
CF4W01.fq.gz	657936	csd
CF4W02.fq.gz	920206	csd
CF4W03.fq.gz	1063219	csd
CF4W04.fq.gz	774310	csd
CF4W05.fq.gz	753401	csd
CF4W06.fq.gz	875474	csd
CF4W07.fq.gz	708870	csd
CF4W08.fq.gz	620450	csd
CF4W09.fq.gz	808401	csd
CF4W10.fq.gz	784445	csd
CF4W11.fq.gz	596280	csd
CF4W12.fq.gz	601556	csd
CF4W13.fq.gz	623082	csd
CF4W14.fq.gz	680961	csd
CF4W15.fq.gz	658017	csd
CF4W16.fq.gz	565960	csd
CF4W17.fq.gz	735278	csd
CF4W18.fq.gz	652210	csd
CF4X01.fq.gz	775823	csd
CF4X02.fq.gz	766833	csd
CF4X03.fq.gz	769773	csd
CF4X04.fq.gz	752105	csd
CF4X05.fq.gz	616408	csd
CF4X06.fq.gz	690498	csd
CF4X07.fq.gz	269635	csd
CF4X08.fq.gz	718505	csd
CF4X09.fq.gz	633246	csd
CF4X10.fq.gz	811558	csd
CF4Y01.fq.gz	1040549	csd
CF4Y02.fq.gz	996056	csd
CF4Y03.fq.gz	932662	csd
CF4Y04.fq.gz	839913	csd
CF4Y05.fq.gz	972281	csd
CF4Y06.fq.gz	950143	csd
CF4Y07.fq.gz	1026013	csd
CF4Y08.fq.gz	949631	csd
CF4Y09.fq.gz	908959	csd
CF4Z01.fq.gz	1092620	csd
CF4Z02.fq.gz	1008490	csd
CF4Z03.fq.gz	1030947	csd
CF4Z04.fq.gz	890413	csd
CF4Z05.fq.gz	1017771	csd
CF4Z06.fq.gz	979017	csd
CF4Z07.fq.gz	1117868	csd
contaminated.fq.gz	2274	csd
empty.fq.gz	10106	csd
excluded.fq.gz	406	csd
MilliQ.fq.gz	26496	csd
RF4AE01.fq.gz	35918	csd
RF4AE02.fq.gz	937343	csd
RF4AE03.fq.gz	477235	csd
RF4AE04.fq.gz	1092825	csd
RF4AE05.fq.gz	1013664	csd
RF4AE06.fq.gz	831532	csd
RF4AE07.fq.gz	856580	csd
RF4AE08.fq.gz	37314	csd
RF4AE09.fq.gz	1080208	csd
RF4AE10.fq.gz	1029492	csd
RF4AE11.fq.gz	1192067	csd
RF4AE12.fq.gz	937789	csd
RF4AE13.fq.gz	1111892	csd
RF4AE14.fq.gz	621579	csd
RF4AE15.fq.gz	571155	csd
RF4AE16.fq.gz	549821	csd
RF4AE17.fq.gz	560359	csd
RF4AE18.fq.gz	561917	csd
RF4AE19.fq.gz	572575	csd
RF4AE20.fq.gz	685071	csd
RF4AE21.fq.gz	703412	csd
RF4AE22.fq.gz	514153	csd
RF4AE23.fq.gz	541988	csd
RF4AF01.fq.gz	940834	csd
RF4AF02.fq.gz	999943	csd
RF4AF03.fq.gz	254493	csd
RF4AF04.fq.gz	46493	csd
RF4AF05.fq.gz	1069456	csd
RF4AF06.fq.gz	1064643	csd
RF4AF07.fq.gz	950625	csd
RF4AG01.fq.gz	1030783	csd
RF4AG02.fq.gz	879488	csd
RF4AG03.fq.gz	872310	csd
RF4AG04.fq.gz	891615	csd
RF4AG05.fq.gz	811104	csd
RF4AG06.fq.gz	829203	csd
RF4AG07.fq.gz	947522	csd
RF4AG08.fq.gz	1015740	csd
RF4AG09.fq.gz	826494	csd
RF4AG10.fq.gz	755431	csd
RF4AG11.fq.gz	931199	csd
RF4AG12.fq.gz	830717	csd
RF4AG13.fq.gz	841091	csd
RF4AG14.fq.gz	987508	csd
RF4AG15.fq.gz	934368	csd
RF4AG16.fq.gz	883383	csd
RF4AG17.fq.gz	768809	csd
RF4AG18.fq.gz	792160	csd
RF4AG19.fq.gz	749990	csd
RF4AG20.fq.gz	704522	csd
RF4AG21.fq.gz	799344	csd
RF4AG22.fq.gz	851048	csd
RF4AG23.fq.gz	672163	csd
RF4AG24.fq.gz	910408	csd
RF4AJ01.fq.gz	626360	csd
RF4AJ03.fq.gz	986	csd
RF4AJ04.fq.gz	1229	csd
RF4AJ05.fq.gz	648110	csd
RF4AJ06.fq.gz	842203	csd
RF4AJ07.fq.gz	831729	csd
RF4AJ08.fq.gz	959504	csd
RF4AJ09.fq.gz	718928	csd
RF4AJ10.fq.gz	812688	csd
RF4AJ11.fq.gz	733218	csd
RF4AK01.fq.gz	738348	csd
RF4AK02.fq.gz	959953	csd
RF4AK03.fq.gz	879890	csd
RF4AK04.fq.gz	975685	csd
RF4AK05.fq.gz	767203	csd
RF4AK06.fq.gz	838733	csd
RF4AK07.fq.gz	840353	csd
RF4AK08.fq.gz	725200	csd
RF4AK09.fq.gz	826	csd
RF4AL01.fq.gz	748251	csd
RF4AL02.fq.gz	835867	csd
RF4AL03.fq.gz	988493	csd
RF4AL04.fq.gz	765891	csd
RF4AL05.fq.gz	844735	csd
RF4AL06.fq.gz	763968	csd
RF4AL07.fq.gz	899558	csd
RF4AL08.fq.gz	950390	csd
RF4AL09.fq.gz	946405	csd
RF4AL10.fq.gz	650787	csd
RF4AL11.fq.gz	1458	csd
RF4AL12.fq.gz	736955	csd
RF4AL13.fq.gz	810282	csd
RF4AM01.fq.gz	796219	csd
RF4AM02.fq.gz	837209	csd
RF4AM03.fq.gz	847564	csd
RF4AM04.fq.gz	847924	csd
RF4AM05.fq.gz	988894	csd
RF4AM06.fq.gz	810022	csd
RF4AM07.fq.gz	992825	csd
RF4AM08.fq.gz	753275	csd
RF4AM09.fq.gz	901854	csd
RF4AM10.fq.gz	912246	csd
RF4AM11.fq.gz	780466	csd
RF4AM12.fq.gz	824403	csd
RF4AM13.fq.gz	519235	csd
RF4AN01.fq.gz	572816	csd
RF4AN02.fq.gz	585186	csd
RF4AN03.fq.gz	662795	csd
RF4AN04.fq.gz	618863	csd
RF4AN05.fq.gz	542298	csd
RF4AN06.fq.gz	2593	csd
CF4BK01.fq.gz	626943	lib13
CF4BK02.fq.gz	534907	lib13
CF4BK03.fq.gz	420638	lib13
CF4BK04.fq.gz	554840	lib13
CF4BK05.fq.gz	3141	lib13
CF4BK06.fq.gz	539751	lib13
CF4BK07.fq.gz	475503	lib13
CF4BK08.fq.gz	469540	lib13
CF4BK09.fq.gz	439226	lib13
CF4BL01.fq.gz	636885	lib13
CF4BL02.fq.gz	462004	lib13
CF4BL03.fq.gz	624722	lib13
CF4BL04.fq.gz	454441	lib13
CF4BL05.fq.gz	664022	lib13
CF4BL06.fq.gz	481596	lib13
CF4BL07.fq.gz	580836	lib13
CF4BL08.fq.gz	700606	lib13
CF4BL09.fq.gz	690269	lib13
CF4BL10.fq.gz	555477	lib13
CF4BL11.fq.gz	555388	lib13
CF4BL12.fq.gz	582490	lib13
CF4BO01.fq.gz	470646	lib13
CF4BO02.fq.gz	555955	lib13
CF4BO03.fq.gz	473049	lib13
CF4BO04.fq.gz	561858	lib13
CF4BO05.fq.gz	604609	lib13
CF4BO06.fq.gz	495683	lib13
CF4BO07.fq.gz	367428	lib13
CF4BO08.fq.gz	461064	lib13
CF4BO09.fq.gz	2452	lib13
CF4BQ01.fq.gz	394765	lib13
CF4BQ02.fq.gz	243418	lib13
CF4BQ03.fq.gz	376840	lib13
CF4BQ04.fq.gz	439664	lib13
CF4BQ05.fq.gz	417287	lib13
CF4BQ06.fq.gz	528786	lib13
CF4BQ07.fq.gz	461889	lib13
CF4BQ08.fq.gz	553196	lib13
CF4BQ09.fq.gz	319431	lib13
CF4BQ10.fq.gz	523776	lib13
CF4BS01.fq.gz	1042	lib13
CF4BS02.fq.gz	326313	lib13
CF4BS03.fq.gz	540524	lib13
CF4BS04.fq.gz	333269	lib13
CF4BS05.fq.gz	577573	lib13
CF4BS06.fq.gz	482241	lib13
CF4BS07.fq.gz	631358	lib13
CF4BS08.fq.gz	271276	lib13
CF4BS09.fq.gz	578331	lib13
CF4BS10.fq.gz	573527	lib13
CF4BV01.fq.gz	683629	lib13
CF4BV02.fq.gz	725687	lib13
CF4BV03.fq.gz	676054	lib13
CF4BV04.fq.gz	2028	lib13
CF4BV05.fq.gz	601943	lib13
CF4BV06.fq.gz	763459	lib13
CF4BV07.fq.gz	1217332	lib13
CF4BV08.fq.gz	871736	lib13
CF4BV09.fq.gz	841883	lib13
CF4BV10.fq.gz	748554	lib13
CF4BV11.fq.gz	703856	lib13
CF4BV12.fq.gz	913742	lib13
CF4BX01.fq.gz	807955	lib13
CF4BX02.fq.gz	816347	lib13
CF4BX03.fq.gz	643052	lib13
CF4BX04.fq.gz	891578	lib13
CF4BX05.fq.gz	582814	lib13
CF4BX06.fq.gz	603567	lib13
CF4BX07.fq.gz	613269	lib13
CF4BY01.fq.gz	577035	lib13
CF4BY02.fq.gz	832222	lib13
CF4BY03.fq.gz	492501	lib13
CF4BY04.fq.gz	671595	lib13
CF4BY05.fq.gz	669106	lib13
CF4BY06.fq.gz	681604	lib13
CF4BY07.fq.gz	709298	lib13
CF4BY08.fq.gz	540005	lib13
CF4BY09.fq.gz	859515	lib13
CF4BY10.fq.gz	727761	lib13
CF4BZ01.fq.gz	472921	lib13
CF4BZ02.fq.gz	633098	lib13
CF4BZ03.fq.gz	531639	lib13
CF4BZ04.fq.gz	676586	lib13
CF4BZ05.fq.gz	481313	lib13
CF4CA01.fq.gz	658562	lib13
CF4CA02.fq.gz	1056538	lib13
CF4CA03.fq.gz	730085	lib13
CF4CA04.fq.gz	787050	lib13
CF4CA05.fq.gz	599674	lib13
CF4CB01.fq.gz	702313	lib13
CF4CB02.fq.gz	540402	lib13
CF4CB03.fq.gz	778954	lib13
CF4CB04.fq.gz	743388	lib13
CF4CB05.fq.gz	848752	lib13
CF4CD01.fq.gz	610374	lib13
CF4CD02.fq.gz	604519	lib13
CF4CD03.fq.gz	523941	lib13
CF4CD04.fq.gz	689442	lib13
CF4CD05.fq.gz	662722	lib13
CF4CD06.fq.gz	519600	lib13
CF4CD07.fq.gz	683770	lib13
CF4CD08.fq.gz	756245	lib13
CF4CD09.fq.gz	640952	lib13
CF4CD10.fq.gz	608293	lib13
RF4BM01.fq.gz	506354	lib13
RF4BM02.fq.gz	384481	lib13
RF4BM03.fq.gz	540436	lib13
RF4BM04.fq.gz	595960	lib13
RF4BM05.fq.gz	346346	lib13
RF4BM06.fq.gz	603381	lib13
RF4BM07.fq.gz	487363	lib13
RF4BM08.fq.gz	596919	lib13
RF4BM09.fq.gz	573968	lib13
RF4BM10.fq.gz	563313	lib13
RF4BN01.fq.gz	54551	lib13
RF4BN02.fq.gz	479087	lib13
RF4BN03.fq.gz	453624	lib13
RF4BN04.fq.gz	426944	lib13
RF4BN05.fq.gz	556520	lib13
RF4BN06.fq.gz	486612	lib13
RF4BN07.fq.gz	499940	lib13
RF4BN08.fq.gz	330691	lib13
RF4BN09.fq.gz	627995	lib13
RF4BN10.fq.gz	492943	lib13
RF4BP01.fq.gz	492462	lib13
RF4BP02.fq.gz	437321	lib13
RF4BP03.fq.gz	563168	lib13
RF4BP04.fq.gz	404958	lib13
RF4BP05.fq.gz	361230	lib13
RF4BP06.fq.gz	579783	lib13
RF4BP07.fq.gz	561773	lib13
RF4BP08.fq.gz	563077	lib13
RF4BP09.fq.gz	446511	lib13
RF4BP10.fq.gz	461823	lib13
RF4BP11.fq.gz	348828	lib13
RF4BR01.fq.gz	323357	lib13
RF4BR02.fq.gz	428958	lib13
RF4BR03.fq.gz	393046	lib13
RF4BR04.fq.gz	528674	lib13
RF4BR05.fq.gz	535287	lib13
RF4BT01.fq.gz	506365	lib13
RF4BT02.fq.gz	479311	lib13
RF4BT03.fq.gz	451709	lib13
RF4BT04.fq.gz	307891	lib13
RF4BT05.fq.gz	376858	lib13
RF4BT06.fq.gz	376653	lib13
RF4BT07.fq.gz	440825	lib13
RF4BT08.fq.gz	329585	lib13
RF4BT09.fq.gz	408093	lib13
RF4BT10.fq.gz	484294	lib13
RF4BT11.fq.gz	3241	lib13
RF4BT12.fq.gz	641825	lib13
RF4BU01.fq.gz	491027	lib13
RF4BU02.fq.gz	542071	lib13
