sample	total	unique	multi	nohit	lib
CF4A07	12	0	2	10	csd
CF4A11	672	289	105	278	csd
CF4A13	47	23	9	15	csd
CF4AC02	3833	2188	1318	327	csd
CF4AB06	6287	3388	2338	561	csd
CF4AC08	43711	20819	12703	10189	csd
CF4AB01	49821	28108	14344	7369	csd
CF4AC15	25456	14828	8683	1945	csd
CF4AD07	38527	19969	13396	5162	csd
RF4AE08	37314	19932	13186	4196	csd
RF4AE01	35918	19829	12804	3285	csd
CF4AD06	40078	21102	12903	6073	csd
CF4AC01	304743	167003	110028	27712	csd
CF4AD05	215925	126692	66912	22321	csd
CF4A19	688058	423191	194785	70082	csd
RF4AE03	477235	267882	174512	34841	csd
CF4A17	778414	444615	227921	105878	csd
CF4AC16	586831	355379	183742	47710	csd
CF4A24	772179	481665	210879	79635	csd
CF4A28	734575	453824	203707	77044	csd
CF4A15	804306	460058	230048	114200	csd
CF4AB02	661836	383215	218661	59960	csd
CF4A25	836636	500355	236680	99601	csd
CF4AD15	556119	322286	179622	54211	csd
CF4A18	963750	543483	273915	146352	csd
RF4AE16	549821	334689	151349	63783	csd
CF4A20	885735	534315	256561	94859	csd
CF4A16	895303	522612	266555	106136	csd
CF4A21	911958	544334	251468	116156	csd
CF4AB03	815423	479648	262352	73423	csd
CF4AC17	788095	464611	256741	66743	csd
CF4AA03	1064404	586354	392116	85934	csd
RF4AF04	46493	26375	15389	4729	csd
CF4A22	938841	571277	267103	100461	csd
RF4AE22	514153	314077	159017	41059	csd
RF4AE17	560359	350034	154122	56203	csd
CF4A27	1089100	593569	276920	218611	csd
CF4AC04	865005	475460	324548	64997	csd
CF4A29	1021294	599272	273840	148182	csd
RF4AE14	621579	394584	173833	53162	csd
RF4AE19	572575	362886	162130	47559	csd
RF4AE18	561917	347909	157862	56146	csd
CF4AB05	852120	524453	244580	83087	csd
CF4AC14	909823	538507	298060	73256	csd
CF4A23	1006133	609300	283800	113033	csd
RF4AE23	541988	340971	146027	54990	csd
CF4A26	1091097	655238	297796	138063	csd
CF4AC12	957165	509320	384856	62989	csd
RF4AE15	571155	353112	166535	51508	csd
RF4AE21	703412	432870	207237	63305	csd
CF4AC05	931099	512197	343027	75875	csd
CF4AB07	914137	569431	255929	88777	csd
RF4AE20	685071	433486	184220	67365	csd
CF4AD14	840743	520975	247450	72318	csd
CF4AD01	954067	566041	294734	93292	csd
CF4AD02	909897	537473	268404	104020	csd
RF4AF03	254493	135143	75189	44161	csd
CF4AA04	1108997	637732	383247	88018	csd
CF4AC11	1080277	654506	331379	94392	csd
CF4AB04	943386	574881	280858	87647	csd
CF4AA02	1082803	603035	396468	83300	csd
CF4AC06	999412	567439	347028	84945	csd
RF4AE07	856580	477155	309281	70144	csd
CF4AD12	927843	545287	295754	86802	csd
RF4AE06	831532	480631	283268	67633	csd
CF4AC13	1018352	600532	323915	93905	csd
CF4AA05	1011940	608479	313382	90079	csd
RF4AE12	937789	483840	388706	65243	csd
CF4AC10	986115	563888	343546	78681	csd
CF4AD08	844647	507575	234365	102707	csd
CF4AC09	985207	531306	378605	75296	csd
RF4AE13	1111892	531696	324245	255951	csd
CF4AD04	965864	584677	265622	115565	csd
CF4AA06	1072365	594963	388603	88799	csd
CF4AD13	909516	540613	281895	87008	csd
CF4A30	1216157	733952	339492	142713	csd
RF4AE02	937343	543821	319680	73842	csd
CF4AD09	985680	589164	279987	116529	csd
CF4AH06	3933	2366	1024	543	csd
CF4AD03	948299	576581	255285	116433	csd
RF4AE10	1029492	589871	361724	77897	csd
CF4AH09	4064	2577	1064	423	csd
CF4AC03	1097647	619401	396617	81629	csd
RF4AE09	1080208	605700	387530	86978	csd
RF4AE05	1013664	571645	353254	88765	csd
CF4AA01	1060895	584521	388746	87628	csd
