sample	total	unique	multi	nohit	lib
RF4AF01	940834	565536	290797	84501	csd
CF4AD10	1170920	703298	343031	124591	csd
RF4AJ03	986	602	302	82	csd
RF4AE11	1192067	687335	412449	92283	csd
CF4AD11	1223273	714902	354034	154337	csd
RF4AJ04	1229	708	373	148	csd
RF4AE04	1092825	643419	360212	89194	csd
CF4AC07	1469130	797881	567166	104083	csd
RF4AG06	829203	453530	309136	66537	csd
RF4AK09	826	497	246	83	csd
RF4AF02	999943	563093	323800	113050	csd
CF4A14	951890	403217	175433	373240	csd
RF4AF06	1064643	636307	336911	91425	csd
RF4AG13	841091	528283	244034	68774	csd
CF4A10	903165	391160	180000	332005	csd
RF4AL11	1458	803	379	276	csd
CF4A12	971090	434776	178799	357515	csd
RF4AG21	799344	453796	293281	52267	csd
RF4AG03	872310	497774	306675	67861	csd
RF4AF05	1069456	626514	337703	105239	csd
RF4AG02	879488	500181	312590	66717	csd
CF4A08	1067423	464800	212221	390402	csd
RF4AF07	950625	574646	284886	91093	csd
RF4AG10	755431	448878	243547	63006	csd
RF4AG23	672163	382100	247950	42113	csd
RF4AG12	830717	522509	239287	68921	csd
RF4AG04	891615	471349	358007	62259	csd
CF4A03	1129253	486182	207916	435155	csd
RF4AG09	826494	499179	243006	84309	csd
RF4AG24	910408	573353	259431	77624	csd
RF4AG20	704522	389992	267731	46799	csd
CF4AH08	746906	362505	152538	231863	csd
RF4AG17	768809	477659	220736	70414	csd
RF4AG19	749990	497750	180375	71865	csd
RF4AG05	811104	514821	228782	67501	csd
RF4AG16	883383	544811	273291	65281	csd
CF4AH05	740919	423867	167804	149248	csd
RF4AG07	947522	509966	362604	74952	csd
RF4AG18	792160	510216	184669	97275	csd
CF4AI03	690527	390181	243044	57302	csd
RF4AG01	1030783	576874	376185	77724	csd
CF4AI07	656856	400540	159674	96642	csd
CF4AI10	642155	357371	227214	57570	csd
CF4AI11	675784	355612	235760	84412	csd
CF4AI04	773115	436225	272398	64492	csd
CF4AI01	822449	478126	266756	77567	csd
RF4AG11	931199	584952	266916	79331	csd
RF4AG08	1015740	618995	301976	94769	csd
RF4AJ01	626360	396324	160612	69424	csd
CF4A04	1185375	499225	225999	460151	csd
RF4AG22	851048	523248	242181	85619	csd
RF4AJ05	648110	408267	166320	73523	csd
CF4AI05	756635	434118	261939	60578	csd
CF4AH02	762542	499841	195333	67368	csd
CF4AH03	824881	536277	213398	75206	csd
CF4AI09	735502	417579	257614	60309	csd
CF4AH04	779273	504660	198134	76479	csd
RF4AJ11	733218	461837	192881	78500	csd
RF4AK08	725200	474203	184222	66775	csd
CF4B01	7	0	0	7	csd
RF4AN06	2593	1484	726	383	csd
RF4AK01	738348	483930	196547	57871	csd
CF4AH07	796494	503805	207186	85503	csd
CF4AI06	816998	464478	277000	75520	csd
RF4AJ09	718928	450304	184339	84285	csd
RF4AG14	987508	535971	386184	65353	csd
RF4AG15	934368	589193	272414	72761	csd
RF4AJ06	842203	535973	217821	88409	csd
CF4A09	1206678	514982	235222	456474	csd
CF4A05	1230397	523556	240817	466024	csd
RF4AK05	767203	511424	188349	67430	csd
RF4AJ07	831729	506077	187989	137663	csd
CF4A02	1229836	511974	238750	479112	csd
CF4AI02	843785	468949	310887	63949	csd
CF4AI08	819058	456930	301031	61097	csd
RF4AJ10	812688	492153	184276	136259	csd
RF4AL06	763968	462060	183210	118698	csd
RF4AL01	748251	465338	186345	96568	csd
RF4AK03	879890	587847	222698	69345	csd
CF4C03	5329	3083	1266	980	csd
RF4AL04	765891	490292	175948	99651	csd
CF4AH01	967500	638935	238285	90280	csd
RF4AL10	650787	415426	155285	80076	csd
RF4AM03	847564	547235	231030	69299	csd
RF4AK07	840353	560045	206305	74003	csd
RF4AM08	753275	424067	275236	53972	csd
CF4A06	1288475	511739	238684	538052	csd
RF4AK06	838733	544312	216005	78416	csd
RF4AK02	959953	633149	243332	83472	csd
RF4AL02	835867	540247	196574	99046	csd
RF4AJ08	959504	623096	229166	107242	csd
RF4AL12	736955	474165	185415	77375	csd
CF4E12	11115	6850	3107	1158	csd
RF4AL05	844735	539600	200082	105053	csd
RF4AM13	519235	346292	126435	46508	csd
RF4AL03	988493	647029	236601	104863	csd
CF4E15	7435	4334	1915	1186	csd
RF4AL09	946405	601072	239542	105791	csd
RF4AL08	950390	616783	244204	89403	csd
RF4AN01	572816	371768	136324	64724	csd
RF4AK04	975685	644497	242747	88441	csd
RF4AM12	824403	511873	252907	59623	csd
RF4AM01	796219	490614	248327	57278	csd
RF4AN02	585186	354664	129098	101424	csd
RF4AL13	810282	526176	211959	72147	csd
RF4AL07	899558	584668	223202	91688	csd
RF4AN05	542298	355451	132608	54239	csd
RF4AM10	912246	582286	263347	66613	csd
RF4AM02	837209	522295	255978	58936	csd
RF4AM04	847924	532120	257691	58113	csd
RF4AM06	810022	494267	255471	60284	csd
RF4AN03	662795	429831	159369	73595	csd
RF4AN04	618863	401879	148589	68395	csd
RF4AM11	780466	490043	236860	53563	csd
RF4AM09	901854	557873	283855	60126	csd
CF4B16	723897	432610	186464	104823	csd
RF4AM07	992825	646191	272336	74298	csd
RF4AM05	988894	643013	266538	79343	csd
CF4E07	648783	404413	172566	71804	csd
CF4E02	726412	443047	207838	75527	csd
CF4B15	835653	532861	212242	90550	csd
CF4D08	789131	470322	253358	65451	csd
CF4C01	887666	555534	255664	76468	csd
CF4B17	821357	523714	213013	84630	csd
CF4D02	867339	539841	241784	85714	csd
CF4C06	914964	579818	257515	77631	csd
CF4D05	793399	489960	221358	82081	csd
CF4B04	1077922	478080	209362	390480	csd
CF4F03	1117047	704910	314409	97728	csd
CF4D03	1162280	714638	322274	125368	csd
CF4B14	515414	182435	104259	228720	csd
CF4E10	937475	580999	256090	100386	csd
CF4E05	1055984	635089	290277	130618	csd
CF4E11	818346	506743	227941	83662	csd
CF4D06	1094754	659364	323911	111479	csd
CF4B07	669769	221399	112466	335904	csd
CF4C04	1200116	763517	335774	100825	csd
CF4E09	854910	536302	235979	82629	csd
CF4C05	948103	590614	273529	83960	csd
CF4C02	1128788	708812	327743	92233	csd
CF4E13	976217	601049	256549	118619	csd
CF4C07	1275336	810623	359179	105534	csd
CF4E04	1102633	682576	310639	109418	csd
CF4B05	805259	341651	155643	307965	csd
CF4E14	1121888	694070	317595	110223	csd
CF4F02	798137	499872	229920	68345	csd
CF4E06	1231134	719886	340830	170418	csd
CF4E03	1066001	617536	227530	220935	csd
CF4D04	1066419	641778	287643	136998	csd
CF4D10	1211301	727986	328066	155249	csd
CF4D07	1231673	773211	332462	126000	csd
CF4E16	1119559	686943	308951	123665	csd
CF4E08	1023360	641801	277234	104325	csd
CF4D09	1359846	796862	398205	164779	csd
CF4A01	1633758	558967	257179	817612	csd
CF4E01	1153859	722677	307192	123990	csd
CF4D01	1122921	705236	305861	111824	csd
CF4B11	909160	390146	171412	347602	csd
CF4E17	1301558	786672	362691	152195	csd
CF4B12	916417	382858	166051	367508	csd
CF4B03	1077874	461088	206673	410113	csd
CF4B13	893545	375754	154141	363650	csd
CF4B09	967875	395371	176942	395562	csd
CF4B02	916543	399958	173164	343421	csd
CF4F01	1402646	876097	396666	129883	csd
CF4E18	1668783	960545	436765	271473	csd
CF4F09	1819	1082	505	232	csd
CF4F11	1810	1189	399	222	csd
CF4B06	1086253	475808	211347	399098	csd
CF4I05	2710	1493	792	425	csd
CF4J11	3032	1867	783	382	csd
CF4J18	4605	2671	1348	586	csd
CF4J15	5359	3186	1431	742	csd
CF4B08	1172738	467002	214049	491687	csd
CF4B10	1186760	502405	214711	469644	csd
CF4G02	663001	409622	183436	69943	csd
CF4H20	420861	251488	108119	61254	csd
CF4G12	500682	305543	141568	53571	csd
CF4I06	430992	229372	147301	54319	csd
CF4H03	576879	348622	156041	72216	csd
CF4J09	332017	198895	86526	46596	csd
CF4I03	684904	361224	250372	73308	csd
CF4J13	614833	382090	147162	85581	csd
CF4G08	1022647	619944	284392	118311	csd
CF4I04	484340	265502	163314	55524	csd
CF4I02	490353	266525	171700	52128	csd
CF4F17	723755	455585	206340	61830	csd
CF4H16	594257	338585	145278	110394	csd
CF4F15	728207	464185	199763	64259	csd
CF4J24	640294	379811	173523	86960	csd
CF4H18	490095	301633	125891	62571	csd
CF4G04	766871	472788	207970	86113	csd
CF4J16	506846	308289	142105	56452	csd
CF4F14	762113	479643	217741	64729	csd
CF4H12	633123	338798	168152	126173	csd
CF4J01	542793	331462	147958	63373	csd
CF4K09	2046	1170	532	344	csd
CF4H14	723092	420428	180115	122549	csd
CF4I07	697080	372843	269843	54394	csd
CF4J10	431465	247737	111646	72082	csd
CF4J04	539058	289827	193590	55641	csd
CF4I01	678808	355382	242313	81113	csd
CF4H01	831694	463401	263728	104565	csd
CF4J05	562537	277514	194991	90032	csd
CF4F07	802575	485023	242561	74991	csd
CF4H17	693512	424702	178786	90024	csd
CF4I08	673064	370283	241257	61524	csd
CF4J20	440762	265373	117750	57639	csd
CF4J14	516658	310890	138238	67530	csd
CF4H04	936207	571698	259577	104932	csd
CF4J17	522580	318907	145261	58412	csd
CF4G10	801071	484036	221564	95471	csd
CF4G14	965909	494962	241651	229296	csd
CF4F13	939934	561543	301440	76951	csd
CF4J23	484400	292143	128541	63716	csd
CF4H19	644761	402592	167784	74385	csd
CF4H21	650497	395231	165637	89629	csd
CF4G03	829600	523173	229953	76474	csd
CF4I12	706902	416875	214599	75428	csd
CF4J12	599677	306479	215364	77834	csd
CF4J08	615547	392888	155501	67158	csd
CF4G15	850167	497200	239879	113088	csd
CF4J22	608792	360412	160152	88228	csd
CF4K01	493742	300670	127226	65846	csd
CF4I09	824461	446474	304885	73102	csd
CF4H15	827608	514254	216846	96508	csd
CF4H02	928079	537799	262461	127819	csd
CF4I13	829296	444107	289453	95736	csd
CF4H13	873426	539045	244036	90345	csd
CF4H07	991605	501773	250513	239319	csd
CF4G11	911917	562289	247691	101937	csd
CF4G13	943140	560243	281552	101345	csd
CF4G07	1003612	536523	390052	77037	csd
CF4H09	949622	523658	242092	183872	csd
CF4J06	761260	460805	192201	108254	csd
CF4G09	1080064	657446	302782	119836	csd
CF4H05	905582	538904	250589	116089	csd
CF4I10	875972	484505	254990	136477	csd
CF4F16	1043700	637675	303706	102319	csd
CF4I15	831607	470775	281173	79659	csd
CF4F06	1055112	641806	322467	90839	csd
CF4H10	938725	560931	266688	111106	csd
CF4J26	671004	408962	177793	84249	csd
CF4F12	873172	555145	224824	93203	csd
CF4J21	682545	404256	180451	97838	csd
CF4G06	1119890	581489	390652	147749	csd
CF4I14	843747	485679	282973	75095	csd
CF4I11	920651	521966	296297	102388	csd
CF4L17	2326	1315	654	357	csd
CF4F04	1016940	630146	295177	91617	csd
CF4H11	905417	538949	245999	120469	csd
CF4H08	964029	592438	283984	87607	csd
CF4I16	828697	485354	268448	74895	csd
CF4J19	794778	476492	212100	106186	csd
CF4J25	683799	421262	190330	72207	csd
CF4J07	870574	518286	221545	130743	csd
CF4J03	813366	488075	211833	113458	csd
CF4H06	1056350	602506	294713	159131	csd
CF4J02	965826	583366	263568	118892	csd
CF4G05	1155062	699559	329578	125925	csd
CF4K16	292764	168568	78369	45827	csd
CF4J27	784260	423355	280036	80869	csd
CF4K10	599509	357675	149110	92724	csd
CF4F05	1245574	782984	356696	105894	csd
CF4K03	798471	484687	199909	113875	csd
CF4O04	35790	20140	9989	5661	csd
CF4Q02	3849	2012	1531	306	csd
CF4K04	628698	378906	155022	94770	csd
CF4K11	477720	286364	122461	68895	csd
CF4R01	4741	2881	1390	470	csd
CF4G01	1126888	712270	296862	117756	csd
CF4K06	646724	380922	173561	92241	csd
CF4L02	401602	227907	95485	78210	csd
CF4L03	380909	229095	94719	57095	csd
CF4K13	554311	274357	122906	157048	csd
CF4K12	514996	309562	132951	72483	csd
CF4K14	438887	268130	114084	56673	csd
CF4K02	851501	521801	217276	112424	csd
CF4K17	638715	396234	157468	85013	csd
CF4L15	636844	390923	164866	81055	csd
CF4K07	696291	407915	165565	122811	csd
CF4S07	130794	82246	33295	15253	csd
CF4N06	501322	275180	153981	72161	csd
CF4L12	511093	311272	144485	55336	csd
CF4L08	554186	341267	145366	67553	csd
CF4P02	269485	167755	72296	29434	csd
CF4K05	892105	532845	233059	126201	csd
CF4L05	532989	326272	134885	71832	csd
CF4L14	508087	313522	128910	65655	csd
CF4L09	692596	409632	176102	106862	csd
CF4K15	786709	466126	202940	117643	csd
CF4L06	637066	379605	168059	89402	csd
CF4F08	1746038	1074193	488656	183189	csd
CF4L04	624533	377950	162651	83932	csd
CF4N08	731861	433383	199379	99099	csd
CF4L13	640464	385064	160954	94446	csd
CF4L07	706906	420672	176802	109432	csd
CF4L18	609343	368677	157079	83587	csd
CF4M02	723727	406306	169674	147747	csd
CF4O06	563145	322000	188849	52296	csd
CF4V05	92432	47371	30576	14485	csd
CF4N01	718302	461515	179902	76885	csd
CF4L10	628380	379500	164928	83952	csd
CF4L16	668398	396094	161657	110647	csd
CF4L11	767406	457297	197311	112798	csd
CF4K08	1011859	609255	269058	133546	csd
CF4K18	749002	455854	191686	101462	csd
CF4M01	786291	445984	191944	148363	csd
CF4V04	136029	78856	33082	24091	csd
CF4V07	125786	70986	44005	10795	csd
CF4L01	827524	512126	212879	102519	csd
CF4M04	785737	461630	194150	129957	csd
CF4T03	833069	461660	292765	78644	csd
CF4N09	803572	467649	218931	116992	csd
CF4O03	743277	409354	252252	81671	csd
CF4N02	774976	492129	203918	78929	csd
CF4N05	843775	477454	212744	153577	csd
CF4T02	609019	345974	214007	49038	csd
CF4M03	842255	507530	210344	124381	csd
CF4N07	883385	506248	229102	148035	csd
CF4R05	655329	388814	190043	76472	csd
CF4S05	693433	400794	166590	126049	csd
CF4N10	756335	466574	198983	90778	csd
CF4S04	695777	418191	199378	78208	csd
CF4N04	909064	533097	235146	140821	csd
CF4O08	856104	454503	309717	91884	csd
CF4N03	916313	580714	244038	91561	csd
CF4O05	905391	485462	318423	101506	csd
CF4Q01	842315	476045	281588	84682	csd
CF4P01	831826	498490	238301	95035	csd
CF4Q03	809253	442275	305002	61976	csd
CF4O07	910551	476378	333122	101051	csd
CF4O02	896732	502583	291459	102690	csd
CF4T01	833946	455128	297372	81446	csd
CF4N11	919976	571751	237786	110439	csd
CF4O09	895564	481273	315343	98948	csd
CF4O01	999573	565199	307144	127230	csd
CF4S01	894692	539543	261242	93907	csd
CF4U10	992808	489221	399323	104264	csd
CF4T11	812196	367798	287220	157178	csd
CF4T08	760406	391804	298184	70418	csd
CF4R04	930581	513150	284794	132637	csd
CF4P03	914363	549969	264941	99453	csd
CF4Q04	916486	488772	315473	112241	csd
CF4S03	890867	532582	262084	96201	csd
CF4T07	943270	477637	369827	95806	csd
CF4S09	896063	530750	264198	101115	csd
CF4S08	933448	545643	263775	124030	csd
CF4R03	994873	611445	301994	81434	csd
CF4T06	737669	431846	208818	97005	csd
CF4S06	871789	507679	242393	121717	csd
CF4T04	945808	499326	292874	153608	csd
CF4U06	694053	361987	289765	42301	csd
CF4U04	925844	476187	396043	53614	csd
CF4S02	1161791	680269	372099	109423	csd
CF4V10	931218	479176	387824	64218	csd
CF4T10	874208	418981	372815	82412	csd
CF4U01	1157210	669810	309683	177717	csd
CF4T05	928398	476315	339812	112271	csd
CF4T12	950395	463041	336273	151081	csd
CF4U03	931254	420426	455489	55339	csd
CF4T09	958442	491593	384165	82684	csd
CF4V14	745216	437902	257256	50058	csd
CF4V02	774875	399274	320280	55321	csd
CF4V11	618634	332655	247034	38945	csd
CF4V08	801507	453982	288704	58821	csd
CF4V13	698935	387642	262455	48838	csd
CF4X07	269635	164155	83369	22111	csd
CF4U05	981360	480964	434161	66235	csd
CF4V16	878224	461568	357415	59241	csd
CF4U02	983333	500413	422697	60223	csd
CF4W01	657936	342897	276335	38704	csd
CF4W08	620450	397317	171049	52084	csd
CF4T13	1031199	541593	359838	129768	csd
CF4U07	873014	428359	389838	54817	csd
CF4U08	852248	484582	283709	83957	csd
CF4V01	916888	470788	371799	74301	csd
CF4W18	652210	362557	241383	48270	csd
CF4V15	705373	371799	279373	54201	csd
CF4W04	774310	467385	236144	70781	csd
CF4V03	949769	486058	391803	71908	csd
CF4W11	596280	389775	139313	67192	csd
CF4W13	623082	366041	213851	43190	csd
CF4U09	937641	524679	310392	102570	csd
CF4V12	906517	524839	316190	65488	csd
CF4V17	775895	408019	313395	54481	csd
CF4W16	565960	368849	148122	48989	csd
CF4W14	680961	425527	197951	57483	csd
CF4W05	753401	394644	307568	51189	csd
CF4W09	808401	407100	351841	49460	csd
CF4V09	929422	484734	373169	71519	csd
CF4W07	708870	419162	231346	58362	csd
CF4X05	616408	363920	196442	56046	csd
CF4V18	803006	419020	318554	65432	csd
CF4W12	601556	395521	148342	57693	csd
CF4W02	920206	528200	322395	69611	csd
CF4X09	633246	358674	190134	84438	csd
CF4W06	875474	439340	378773	57361	csd
CF4W17	735278	442857	240515	51906	csd
CF4W10	784445	457646	268495	58304	csd
CF4X01	775823	471410	234580	69833	csd
CF4X02	766833	458641	234514	73678	csd
CF4X04	752105	446875	240656	64574	csd
CF4V06	948522	526423	345942	76157	csd
CF4X03	769773	451369	220173	98231	csd
CF4BF06	28454	17548	8437	2469	csd
CF4W15	658017	383232	229158	45627	csd
CF4BG04	4325	2279	1592	454	csd
CF4BG01	4981	2791	1522	668	csd
CF4X08	718505	429594	228866	60045	csd
CF4W03	1063219	558028	432445	72746	csd
CF4X06	690498	436621	201317	52560	csd
CF4BJ10	22992	13048	7952	1992	csd
CF4X10	811558	479917	264229	67412	csd
CF4BF02	310308	165757	83230	61321	csd
CF4Y04	839913	480110	288815	70988	csd
CF4Y03	932662	504287	362108	66267	csd
CF4Y02	996056	550519	362112	83425	csd
CF4Y06	950143	521079	356965	72099	csd
CF4Y05	972281	524133	379877	68271	csd
CF4Y01	1040549	575261	386714	78574	csd
CF4BH07	663531	341831	234701	86999	csd
CF4BI10	658919	340679	242139	76101	csd
CF4Y09	908959	463083	389362	56514	csd
CF4Z01	1092620	623326	365205	104089	csd
CF4BF01	878731	474769	268387	135575	csd
CF4BJ06	950199	516329	301324	132546	csd
CF4BI01	615123	299852	256068	59203	csd
CF4BJ09	641682	386352	202774	52556	csd
CF4BH01	1073513	510702	428244	134567	csd
CF4BF04	870048	494672	241779	133597	csd
CF4Z06	979017	491019	340845	147153	csd
CF4BI02	811319	398157	328391	84771	csd
CF4Z04	890413	481822	319018	89573	csd
CF4BH10	684732	381739	202259	100734	csd
CF4BG02	828549	402348	344987	81214	csd
C232	640900	235597	136353	268950	csd
CF4BI03	920376	297186	236552	386638	csd
CF4BF08	825632	472989	247479	105164	csd
CF4Z02	1008490	435494	275188	297808	csd
CF4BI09	739807	340899	318476	80432	csd
CF4BH04	861611	391784	372977	96850	csd
C284	490429	170713	175200	144516	csd
CF4BF03	898237	491516	245296	161425	csd
CF4BG03	881744	509010	243920	128814	csd
CF4BH08	813610	405652	275940	132018	csd
CF4Y08	949631	506414	377780	65437	csd
CF4BJ07	840274	450770	276567	112937	csd
CF4BF07	903652	518654	255529	129469	csd
CF4BH05	1088520	487431	424137	176952	csd
CF4BJ08	888138	458846	258162	171130	csd
CF4BI07	792105	372717	339556	79832	csd
CF4BJ01	1035098	603594	316951	114553	csd
C293	414001	177386	83515	153100	csd
CF4BH03	1032974	470956	432168	129850	csd
CF4Z05	1017771	540359	376483	100929	csd
CF4Y07	1026013	562636	375956	87421	csd
CF4BJ04	862059	492326	252572	117161	csd
CF4BH02	1199997	610353	449035	140609	csd
CF4BH09	869425	396152	288176	185097	csd
CF4BI06	1026097	587316	281564	157217	csd
CF4BG05	996086	599133	270920	126033	csd
CF4BI05	1161317	529282	251359	380676	csd
CF4BG07	924659	556073	263392	105194	csd
CF4BH06	887883	514063	248264	125556	csd
CF4BF05	1068481	592720	307543	168218	csd
CF4Z03	1030947	590385	298033	142529	csd
CF4BI08	969494	526724	253819	188951	csd
CF4BJ02	1087785	580478	332231	175076	csd
C429	616105	249215	113555	253335	csd
C209	796995	387822	293457	115716	csd
C424	786775	321171	164535	301069	csd
CF4Z07	1117868	654933	335927	127008	csd
CF4BJ11	987964	569670	311635	106659	csd
C235	1650067	248296	177080	1224691	csd
CF4BJ03	1079051	589547	307943	181561	csd
CF4BI04	1047369	570500	275816	201053	csd
CF4BG06	996000	602945	283212	109843	csd
CF4BJ05	1021367	571267	329914	120186	csd
C281	1633940	615254	538893	479793	csd
C266	1847021	789096	507436	550489	csd
C279	2071753	966538	512981	592234	csd
C262	2265515	859154	512369	893992	csd
CF4BK05	3141	630	1170	1341	lib13
CF4BK03	420638	144390	141008	135240	lib13
CF4BK07	475503	181400	99954	194149	lib13
CF4BK06	539751	143562	273814	122375	lib13
CF4BK04	554840	165384	188586	200870	lib13
CF4BK09	439226	201712	118783	118731	lib13
CF4BK08	469540	156338	157850	155352	lib13
CF4BL06	481596	157079	107483	217034	lib13
CF4BK01	626943	233345	140261	253337	lib13
CF4BK02	534907	237463	126119	171325	lib13
CF4BL04	454441	169729	181016	103696	lib13
CF4BL02	462004	147655	160503	153846	lib13
CF4BL03	624722	180784	188250	255688	lib13
RF4BM02	384481	107241	157760	119480	lib13
CF4BL05	664022	196849	232596	234577	lib13
CF4BL07	580836	175622	207714	197500	lib13
CF4BL11	555388	140977	252665	161746	lib13
RF4BN01	54551	19059	27809	7683	lib13
CF4BL01	636885	202179	214610	220096	lib13
CF4BL08	700606	137921	370310	192375	lib13
RF4BM05	346346	93414	221027	31905	lib13
RF4BM01	506354	187663	217611	101080	lib13
CF4BL09	690269	180880	335757	173632	lib13
CF4BL12	582490	177888	291443	113159	lib13
RF4BM03	540436	161959	313039	65438	lib13
CF4BL10	555477	158943	296584	99950	lib13
RF4BM04	595960	213149	258886	123925	lib13
RF4BM06	603381	162052	313931	127398	lib13
CF4BO09	2452	470	539	1443	lib13
RF4BM07	487363	175316	233348	78699	lib13
RF4BM08	596919	179560	317565	99794	lib13
RF4BN02	479087	148431	284006	46650	lib13
RF4BN06	486612	122789	270496	93327	lib13
RF4BN04	426944	137333	248962	40649	lib13
RF4BN08	330691	113868	175687	41136	lib13
RF4BM09	573968	203812	242240	127916	lib13
RF4BM10	563313	178605	280838	103870	lib13
RF4BN03	453624	170126	231232	52266	lib13
RF4BN07	499940	166940	272943	60057	lib13
RF4BN05	556520	223574	253880	79066	lib13
CF4BO01	470646	170639	234888	65119	lib13
CF4BO03	473049	170395	238084	64570	lib13
CF4BO07	367428	117353	213597	36478	lib13
RF4BN10	492943	216755	182489	93699	lib13
RF4BN09	627995	235617	159256	233122	lib13
CF4BO02	555955	149857	352253	53845	lib13
CF4BO04	561858	166455	343047	52356	lib13
CF4BO06	495683	204797	220910	69976	lib13
RF4BP04	404958	114311	244322	46325	lib13
RF4BP02	437321	176705	198760	61856	lib13
CF4BO08	461064	164222	240888	55954	lib13
CF4BO05	604609	202226	315128	87255	lib13
RF4BP01	492462	177972	211538	102952	lib13
RF4BP05	361230	114423	202382	44425	lib13
RF4BP10	461823	125461	270159	66203	lib13
CF4BQ02	243418	91985	100602	50831	lib13
RF4BP11	348828	146234	145615	56979	lib13
CF4BQ01	394765	141566	204316	48883	lib13
RF4BP09	446511	181183	193195	72133	lib13
RF4BP03	563168	163742	338491	60935	lib13
CF4BS01	1042	229	507	306	lib13
RF4BP07	561773	166259	337607	57907	lib13
RF4BP06	579783	174322	343322	62139	lib13
CF4BQ03	376840	150065	179243	47532	lib13
RF4BP08	563077	273879	192586	96612	lib13
CF4BQ04	439664	152203	233551	53910	lib13
CF4BQ05	417287	146519	215875	54893	lib13
CF4BQ09	319431	111272	160029	48130	lib13
RF4BR01	323357	138141	135596	49620	lib13
CF4BQ07	461889	147463	260409	54017	lib13
CF4BQ06	528786	184517	290293	53976	lib13
RF4BR03	393046	132884	211616	48546	lib13
CF4BQ10	523776	154718	317233	51825	lib13
CF4BS02	326313	86803	195074	44436	lib13
RF4BR02	428958	188772	178465	61721	lib13
